Id,Name,Industry,BillingCity,BillingState,AccountSource,Owner,LastModifiedDate,_ingested_at
00100000u8wej82pam,Bush Ortega and Weaver & Sons,Transportation,North Jennifer,KY,Trade Show,Kimberly Castillo,2025-08-14T03:36:05.000+0000,2026-07-22T06:15:00Z
00100001sl878rwgse,Wood PLC Ltd.,Construction,East Annmouth,HI,Web,Francisco Ayala,2026-04-29T22:38:18.000+0000,2026-07-22T06:15:00Z
00100002fpidc9ksn8,Doyle Page and Daniels Group,Wholesale,Lake John,CA,Trade Show,Robert Sims,2025-09-26T22:46:30.000+0000,2026-07-22T06:15:00Z
00100003k40ufp5odn,Walker-Ryan Group,Healthcare,Lake Diane,MT,Cold Call,Logan Dawson,2026-03-13T21:27:32.000+0000,2026-07-22T06:15:00Z
00100004yrgw5iyi4j,Tran Ross and Martin Group,Transportation,Nelsonstad,NJ,Web,Dr. Monica Dunn DDS,2026-07-21T16:22:11.000+0000,2026-07-22T06:15:00Z
001000059o6sn8tiby,Reynolds-Davis Ltd.,Healthcare,Williamsstad,NM,Trade Show,Melissa Franco,2026-01-08T10:50:45.000+0000,2026-07-22T06:15:00Z
00100006ikvt29f2f0,Pierce PLC Ltd.,Retail,New Antonioville,KS,Referral,Allison Fisher,2025-09-12T10:45:48.000+0000,2026-07-22T06:15:00Z
00100007fb1xpzlsuv,Benjamin and Sons Group,Manufacturing,Richardsonmouth,GU,Partner,April Richardson,2025-04-23T05:50:31.000+0000,2026-07-22T06:15:00Z
00100008hbpj6kv8l4,Mitchell PLC Corp.,Wholesale,Williamchester,NH,Cold Call,Ariana Newman,2025-01-24T02:31:49.000+0000,2026-07-22T06:15:00Z
001000092mjvc7i4os,Kennedy Ltd Corp.,Construction,Lake Walter,DC,Web,Jessica Lopez,2025-10-25T18:52:34.000+0000,2026-07-22T06:15:00Z
00100010zopx56wsfa,Morales-Taylor Inc.,Education,East Ryan,IA,Referral,Brent Roberts,2025-04-03T10:20:19.000+0000,2026-07-22T06:15:00Z
00100011lxjqx2xlyv,Davis Jones and Bird Inc.,Construction,Jessicafurt,MS,Partner,Steven Walters,2026-07-21T20:04:11.000+0000,2026-07-22T06:15:00Z
001000120wz70uqldq,Valentine PLC Corp.,Transportation,East Michael,IL,Web,Charles Dixon,2026-06-13T15:17:01.000+0000,2026-07-22T06:15:00Z
00100013aqnz1yq1dx,Adams Kane and Stevens Inc.,Retail,Morganchester,DE,Web,Leslie Smith,2025-11-25T04:00:26.000+0000,2026-07-22T06:15:00Z
